"fielding.start","fielding.end","mid_date","pollster","sample","what","y"
2014-04-16,2014-04-16,2014-04-16,"ReachTEL",3580,"LNP",40
2014-04-18,2014-04-21,2014-04-19,"Essential",1005.4,"LNP",39.71553611
2014-04-25,2014-04-28,2014-04-26,"Essential",1161.6,"LNP",40.3
2014-04-26,2014-05-04,2014-04-30,"Morgan MM",3077,"LNP",37.5
2014-04-30,2014-05-01,2014-04-30,"Newspoll (online & robo)",1391,"LNP",39
2014-05-02,2014-05-04,2014-05-03,"Newspoll",1143,"LNP",38
2014-05-02,2014-05-05,2014-05-03,"Essential",1062.6,"LNP",40.2
2014-05-03,2014-05-03,2014-05-03,"ReachTEL",4016,"LNP",38.9
2014-05-08,2014-05-08,2014-05-08,"ReachTEL",3241,"LNP",37.8
2014-05-09,2014-05-12,2014-05-10,"Essential",1008.7,"LNP",40.7
2014-05-14,2014-05-16,2014-05-15,"Newspoll (online & robo)",1399,"LNP",38
2014-05-15,2014-05-17,2014-05-16,"Nielsen",1400,"LNP",35
2014-05-16,2014-05-18,2014-05-17,"Newspoll",1157,"LNP",36
2014-05-16,2014-05-19,2014-05-17,"Essential",1005.4,"LNP",40.1
2014-05-17,2014-05-18,2014-05-17,"Morgan MM",2284,"LNP",35
2014-05-23,2014-05-26,2014-05-24,"Essential",1052.7,"LNP",40
2014-05-24,2014-06-01,2014-05-28,"Morgan MM",3247,"LNP",35
2014-05-30,2014-06-01,2014-05-31,"Newspoll",1158,"LNP",36
2014-05-30,2014-06-02,2014-05-31,"Essential",1076.9,"LNP",36
2014-06-03,2014-06-05,2014-06-04,"Morgan (phone)",560,"LNP",38.5
2014-06-06,2014-06-09,2014-06-07,"Essential",1030.7,"LNP",39
2014-06-07,2014-06-08,2014-06-07,"Morgan MM",1534,"LNP",33
2014-06-13,2014-06-15,2014-06-14,"Newspoll",1155,"LNP",37
2014-06-13,2014-06-16,2014-06-14,"Essential",980.1,"LNP",39
2014-06-14,2014-06-15,2014-06-14,"Morgan MM",1534,"LNP",38
2014-06-19,2014-06-21,2014-06-20,"Nielsen",1400,"LNP",39
2014-06-19,2014-07-27,2014-07-08,"Morgan MM",3296,"LNP",38
2014-06-20,2014-06-23,2014-06-21,"Essential",1018.6,"LNP",41
2014-06-21,2014-06-29,2014-06-25,"Morgan MM",2797,"LNP",35
2014-06-26,2014-06-26,2014-06-26,"ReachTEL",3376,"LNP",39.6
2014-06-27,2014-06-29,2014-06-28,"Newspoll",1161,"LNP",35
2014-06-27,2014-06-30,2014-06-28,"Essential",999.9,"LNP",38
2014-07-04,2014-07-07,2014-07-05,"Essential",984.5,"LNP",40
2014-07-05,2014-07-13,2014-07-09,"Morgan MM",3955,"LNP",34
2014-07-11,2014-07-13,2014-07-12,"Newspoll",1159,"LNP",36
2014-07-11,2014-07-14,2014-07-12,"Essential",1015.3,"LNP",37
2014-07-17,2014-07-19,2014-07-18,"Nielsen",1400,"LNP",39
2014-07-18,2014-07-21,2014-07-19,"Essential",1146.2,"LNP",40
2014-07-21,2014-07-21,2014-07-21,"ReachTEL",3431,"LNP",40.4
2014-07-23,2014-07-25,2014-07-24,"Newspoll (online & robo)",1400,"LNP",39
2014-07-25,2014-07-27,2014-07-26,"Newspoll",1157,"LNP",36
2014-07-25,2014-07-28,2014-07-26,"Essential",1034,"LNP",41
2014-08-01,2014-08-04,2014-08-02,"Essential",1026.3,"LNP",41
2014-08-02,2014-08-10,2014-08-06,"Morgan MM",3207,"LNP",37.5
2014-08-08,2014-08-10,2014-08-09,"Newspoll",1162,"LNP",40
2014-08-08,2014-08-11,2014-08-09,"Essential",1003.2,"LNP",41
2014-08-15,2014-08-18,2014-08-16,"Essential",1018.6,"LNP",39
2014-08-16,2014-08-24,2014-08-20,"Morgan MM",2691,"LNP",37.5
2014-08-21,2014-08-21,2014-08-21,"ReachTEL",3555,"LNP",41.1
2014-08-22,2014-08-24,2014-08-23,"Newspoll",1170,"LNP",40
2014-08-22,2014-08-25,2014-08-23,"Essential",986.7,"LNP",40
2014-08-29,2014-09-01,2014-08-30,"Essential",995.5,"LNP",40
2014-08-30,2014-09-07,2014-09-03,"Morgan MM",3089,"LNP",38
2014-09-05,2014-09-07,2014-09-06,"Newspoll",1158,"LNP",39
2014-09-05,2014-09-08,2014-09-06,"Essential",957,"LNP",38
2014-09-12,2014-09-15,2014-09-13,"Essential",952.6,"LNP",39
2014-09-13,2014-09-21,2014-09-17,"Morgan MM",2922,"LNP",38.5
2014-09-18,2014-09-18,2014-09-18,"ReachTEL",3470,"LNP",41.6
2014-09-19,2014-09-21,2014-09-20,"Newspoll",1152,"LNP",41
